Station_Name	latitude	longitude
River Street , Clerkenwell	51.52925814095734	-0.10959793985820779
Phillimore Gardens, Kensington	51.500996102202365	-0.19896096269803418
Christopher Street, Liverpool Street	51.52	-0.08
St. Chad's Street, King's Cross	51.52928412859432	-0.12295909286927778
Sedding Street, Sloane Square	51.49325984866738	-0.15685155332186082
Broadcasting House, Marylebone	51.52127998951883	-0.10129999374100862
Charlbert Street, St. John's Wood	51.53470445829235	-0.16864237336123022
Lodge Road, St. John's Wood	51.52880002350025	-0.16909995124167665
New Globe Walk, Bankside	51.507799515795725	-0.09642183490411017
Park Street, Bankside	51.51029973626338	-0.15437635484329335
Brunswick Square, Bloomsbury	51.518314021177424	-0.12259465226724343
Malet Street, Bloomsbury	51.520394659146284	-0.12914087817874087
Scala Street, Fitzrovia	51.52005759241253	-0.13557717400618952
Belgrove Street , King's Cross	51.52968974831578	-0.12338571364806662
Great Russell Street, Bloomsbury	51.51928837016755	-0.123583138952126
Cartwright Gardens , Bloomsbury	51.526231487146404	-0.12604450106585469
Hatton Wall, Holborn	51.518202182157175	-0.11988240318213966
Drury Lane, Covent Garden	51.5148576685314	-0.1224469939404496
Taviton Street, Bloomsbury	51.525587358581056	-0.13161458629849082
Drummond Street , Euston	51.526932519270986	-0.13718122258950421
Hampstead Road (Cartmel), Euston	51.53164031343497	-0.13902860264854483
Northington Street , Holborn	51.522043724120195	-0.115480676747294
Red Lion Square, Holborn	51.518796350046976	-0.11942471774862647
British Museum, Bloomsbury	51.51863000000003	-0.12521999999995614
Doric Way , Somers Town	51.529116475100345	-0.13164129854057643
Bouverie Street, Temple	51.5133751618129	-0.10794444259916824
Bolsover Street, Fitzrovia	51.52227896258347	-0.142968384782124
Hereford Road, Bayswater	51.51384000000007	-0.1938099999999281
Windsor Terrace, Hoxton	51.52958582086907	-0.09354507168426464
Fanshaw Street, Hoxton	51.52942758776765	-0.08130971442066359
Leonard Circus , Shoreditch	51.52468187101659	-0.08150495934435452
Central House, Aldgate	51.51554002031477	-0.07014001722919261
Pancras Road, King's Cross	51.53192079816583	-0.1255350018702336
De Vere Gardens, Kensington	51.50074511944999	-0.18491591694057366
Penywern Road, Earl's Court	51.490807800055656	-0.1936859228501949
Abingdon Villas, Kensington	51.49786826360031	-0.19516799625089926
Shoreditch High Street, Shoreditch	51.52432328677647	-0.07720201781383439
Commercial Street, Shoreditch	51.522584118735	-0.07717925090483815
Pindar Street, Liverpool Street	51.51745841239395	-0.0826224650585819
Wenlock Road , Hoxton	51.531250843829305	-0.09409326698916076
Crawford Street, Marylebone	51.519476383724104	-0.16131024102911157
Bruton Street, Mayfair	51.510503778369326	-0.1446894115556588
Boston Place, Marylebone	51.52372645335119	-0.16280073780158955
Nesham Street, Wapping	51.507454280927796	-0.06828286554332785
Warwick Avenue Station, Maida Vale	51.52318000000008	-0.1836999999999307
Godliman Street, St. Paul's	51.51292523695197	-0.09912743604934454
Curzon Street, Mayfair	51.50672465935425	-0.14771224832034469
East Road, Hoxton	51.52777238370481	-0.08795367026805308
Finsbury Library , Finsbury	51.526419982093586	-0.1043400262037153
Roscoe Street, St. Luke's	51.48981635599066	-0.1682992319815693
Grafton Street, Mayfair	51.509941744539674	-0.14351795712946241
Golden Lane, Barbican	51.52420504322471	-0.095624942377043
Finsbury Circus, Liverpool Street	51.51745841239395	-0.0826224650585819
Paddington Street, Marylebone	51.520424615761016	-0.15599972155317546
Guilford Street , Bloomsbury	51.52258006356917	-0.12385287201602847
New Inn Yard, Shoreditch	51.524600040411855	-0.0777149107669004
Lisson Grove, St. John's Wood	51.52351616624366	-0.16668140600557654
Great Dover Street, The Borough	51.50117935063403	-0.0930288830511397
Cotton Garden Estate, Kennington	51.49061001906665	-0.10752003644944352
Murray Grove , Hoxton	51.53084599311836	-0.08940834628480028
William IV Street, Strand	51.50950324220037	-0.12558798393329754
Gower Place , Euston	51.525419631340434	-0.134550356248532
Holborn Circus, Holborn	51.51813503658313	-0.1111699361871814
Hatton Garden, Holborn	51.518202182157175	-0.11988240318213966
Theobald's Road , Holborn	51.52081193927092	-0.11631238890567971
Euston Road, Euston	51.52893000000006	-0.13447999999993954
Calshot Street , King's Cross	51.532815554169765	-0.11727060558870403
Newgate Street , St. Paul's	51.51568034924016	-0.09978113782047328
Farringdon Lane, Clerkenwell	51.52241869530207	-0.10630530891193336
Old Street Station, St. Luke's	51.52670769866698	-0.08200805323606386
Vauxhall Cross, Vauxhall	51.476230000000044	-0.13055999999994583
Torrens Street, Angel	51.532228964087004	-0.10539618874097229
Longford Street, The Regent's Park	51.53354000000007	-0.1460599999999772
Russell Square Station, Bloomsbury	51.52081548838533	-0.1266861650542978
Sadlers Sports Centre, Finsbury	51.49308000000008	-0.2551399999999262
Arundel Street, Temple	51.51260873801895	-0.11440571459763929
Webber Street , Southwark	51.50075371230616	-0.10170222479245203
Great Titchfield Street, Fitzrovia	51.52199029496691	-0.14210840894679877
Chancery Lane, Holborn	51.51813376355803	-0.11375118283907389
Panton Street, West End	51.509530822227006	-0.13170835863683303
Breams Buildings, Holborn	51.51605771697692	-0.11042036619991545
Tanner Street, Bermondsey	51.50002665536948	-0.07624902942293302
Sancroft Street, Vauxhall	51.487387451548905	-0.11673654674057693
Devonshire Square, Liverpool Street	51.51641084778983	-0.07938882723502909
Bayley Street , Bloomsbury	51.51864730366491	-0.13198753445801772
Tavistock Place, Bloomsbury	51.52492304173955	-0.1296301370376376
Harrington Square 1, Camden Town	51.53230998736447	-0.13869996189077938
Walnut Tree Walk, Vauxhall	51.4940170148342	-0.11245817314790615
Borough Road, Elephant & Castle	51.49916219660032	-0.09703688491255363
Cloudesley Road, Angel	51.53646320406805	-0.10971703549212032
Bricklayers Arms, Borough	51.49396048813218	-0.08556448949797306
Aldersgate Street, Barbican	51.51994000000008	-0.09465999999997621
Falkirk Street, Hoxton	51.530773040396845	-0.07870951703554718
Gloucester Road (North), Kensington	51.49951617329236	-0.18366939791961162
Hampstead Road, Euston	51.53164031343497	-0.13902860264854483
Old Quebec Street, Marylebone	51.513650047832016	-0.1577549195651784
Albert Embankment, Vauxhall	51.476955784946014	-0.12015142065814932
Queen Street 1, Bank	51.60734000690624	-0.0751600228599898
Jewry Street, Aldgate	51.51286940895352	-0.07663363746649174
Vicarage Gate, Kensington	51.504151096423485	-0.19228862973085245
Crosswall, Tower	51.51159175895442	-0.0763399346833783
Westbourne Grove, Bayswater	51.51541720333181	-0.19171194718990342
Woodstock Street, Mayfair	51.5140782675664	-0.1473381391955467
Finsbury Leisure Centre, St. Luke's	51.52616000000006	-0.09544999999997117
Abbey Orchard Street, Westminster	51.49823365668542	-0.13239063720736485
